(constsym, const)
(ident, max)
(eql, =)
(number, 10)
(semicolon, ;)
(varsym, var)
(ident, sum)
(comma, ,)
(ident, i)
(comma, ,)
(ident, f1)
(lparen, ()
(semicolon, ;)
(beginsym, begin)
(ident, sum)
(becomes, :=)
(number, 0)
(semicolon, ;)
(ident, i)
(becomes, :=)
(number, 1)
(semicolon, ;)
(whilesym, while)
(ident, i)
(lss, <)
(ident, max)
(dosym, do)
(beginsym, begin)
(ifsym, if)
(oddsym, odd)
(lparen, ()
(ident, i)
(rparen, ))
(thensym, then)
(ident, sum)
(becomes, :=)
(ident, sum)
(plus, +)
(ident, i)
(semicolon, ;)
(ident, i)
(becomes, :=)
(ident, i)
(plus, +)
(number, 1)
(semicolon, ;)
(endsym, end)
(semicolon, ;)
(writesym, write)
(lparen, ()
(ident, sum)
(rparen, ))
(endsym, end)
(period, .)
